tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,lead_actors_ids,plot,budget,box_office,language,country
tt0097937,movie,My Left Foot,My Left Foot: The Story of Christy Brown,0,1989.0,103.0,"Biography,Drama",7.8,85088,"['nm0000358', 'nm0002084', 'nm0924009', 'nm0792202', 'nm0188520']","Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.","£600,000",$14.7 million,English,
tt0101452,movie,Bill & Ted's Bogus Journey,Bill & Ted's Bogus Journey,0,1991.0,93.0,"Adventure,Comedy,Fantasy",6.3,84984,"['nm0000206', 'nm0935664', 'nm0935664', 'nm0006669', 'nm0000722']",A tyrant from the future creates evil android doubles of Bill and Ted and sends them back to eliminate the originals.,$20 million,$38 million (US),English,United States
tt0119051,movie,The Edge,The Edge,0,1997.0,117.0,"Action,Adventure,Drama",7.0,84967,"['nm0000164', 'nm0000285', 'nm0000512', 'nm0674782', 'nm1075976']",An intellectual billionaire and two other men struggle to band together and survive after getting stranded in the Alaskan wilderness with a blood-thirsty Kodiak Bear hunting them down.,,,,
tt5033998,movie,Charlie's Angels,Charlie's Angels,0,2019.0,118.0,"Action,Adventure,Comedy",5.0,84958,"['nm0829576', 'nm4305463', 'nm8212878', 'nm0006969', 'nm0001772']","When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",,,English,United States
tt1321511,movie,Oldboy,Oldboy,0,2013.0,104.0,"Action,Drama,Mystery",5.8,84955,"['nm0000982', 'nm0647634', 'nm0000168', 'nm1663205', 'nm1663205']","Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason.",,,,
tt1355631,movie,The Infiltrator,The Infiltrator,0,2016.0,127.0,"Biography,Crime,Drama",7.0,84943,"['nm0186505', 'nm0000491', 'nm1208167', 'nm0752407', 'nm1569065']",A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,,,,
tt0316396,movie,Peter Pan,Peter Pan,0,2003.0,113.0,"Adventure,Family,Fantasy",6.8,84927,"['nm0838911', 'nm0005042', 'nm0005042', 'nm0931404', 'nm0001655']","The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.",,,,
tt0884732,movie,The Wedding Ringer,The Wedding Ringer,0,2015.0,101.0,"Comedy,Romance",6.6,84923,"['nm0366389', 'nm0366389', 'nm1265802', 'nm0192505', 'nm1649714']","Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need.",$23 million,$79.8 million,English,United States
tt2387433,movie,Dark Skies,Dark Skies,0,2013.0,97.0,"Horror,Sci-Fi,Thriller",6.3,84869,"['nm0005392', 'nm3967248', 'nm0357979', 'nm2023672', 'nm4595603']","As the Barrett family's peaceful suburban life is rocked by an escalating series of disturbing events, they come to learn that a terrifying and deadly force is after them, one which may have arrived from beyond the stars.",,,English,United States
tt0385307,movie,Miss Congeniality 2: Armed and Fabulous,Miss Congeniality 2: Armed and Fabulous,0,2005.0,115.0,"Action,Comedy,Crime",5.2,84861,"['nm0000113', 'nm0005093', 'nm0000638', 'nm0006663', 'nm0001368']","Gracie Hart abandons the life of a field agent to become the public face of the FBI. Yet, when Cheryl Frasier and Stan Fields are kidnapped, she is determined to rescue them, along with her reluctant partner.",$45 million,$101.3 million,English,United States
tt0377818,movie,The Dukes of Hazzard,The Dukes of Hazzard,0,2005.0,104.0,"Action,Adventure,Comedy",5.2,84844,"['nm0005405', 'nm0424216', 'nm0005433', 'nm1445490', 'nm0501399']","Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane.",$53 million,$109.8 million,English,United States
tt1098327,movie,Dragonball: Evolution,Dragonball: Evolution,0,2009.0,85.0,"Action,Adventure,Fantasy",2.5,84807,"['nm0154226', 'nm0551346', 'nm0000334', 'nm0002536', 'nm1512166']","The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",$30 million,$56.5 million,English,
tt1972571,movie,A Most Wanted Man,A Most Wanted Man,0,2014.0,122.0,"Crime,Drama,Thriller",6.7,84769,"['nm0000450', 'nm1046097', 'nm0117709', 'nm0000705', 'nm3732046']","A Chechen Muslim illegally immigrates to Hamburg, where he gets caught in the international war on terror.",$15 million,$36.2 million,English,
tt1121096,movie,Seventh Son,Seventh Son,0,2014.0,102.0,"Action,Adventure,Fantasy",5.5,84759,"['nm1602660', 'nm0000194', 'nm0000313', 'nm2539953', 'nm1662644']","When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",$95–110 million,$114 million,English,
tt4513674,movie,Café Society,Café Society,0,2016.0,96.0,"Comedy,Drama,Romance",6.6,84757,"['nm0251986', 'nm0829576', 'nm0136797', 'nm0515116', 'nm0498247']","In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",,,,
tt0049833,movie,The Ten Commandments,The Ten Commandments,0,1956.0,220.0,"Adventure,Drama,Family",7.9,84698,"['nm0000032', 'nm0000989', 'nm0000879', 'nm0000064', 'nm0001119']","Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",,,,
tt4916630,movie,Just Mercy,Just Mercy,0,2019.0,137.0,"Biography,Crime,Drama",7.6,84691,"['nm0430107', 'nm0004937', 'nm0488953', 'nm11324875', 'nm0362268']",World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,$25 million,$50 million,English,United States
tt0171363,movie,The Haunting,The Haunting,0,1999.0,113.0,"Fantasy,Horror,Mystery",5.0,84682,"['nm0000553', 'nm0001876', 'nm0005562', 'nm0000666', 'nm0001136']","Dr Marrow enlists Theo, Luke and Nell for a study of sleep disorders at the Hill House. As soon as the terrifying truth about the mansion is revealed, everyone is found fighting for their lives.",,,,
tt0056218,movie,The Manchurian Candidate,The Manchurian Candidate,0,1962.0,126.0,"Drama,Thriller",7.9,84681,"['nm0000069', 'nm0002131', 'nm0001463', 'nm0001450', 'nm0798328']",An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,,,English,
tt1095217,movie,Bad Lieutenant: Port of Call New Orleans,The Bad Lieutenant: Port of Call - New Orleans,0,2009.0,122.0,"Crime,Drama,Mystery",6.6,84618,"['nm0000115', 'nm0578949', 'nm2963760', 'nm0000174', 'nm0944702']",Terence McDonagh is a drug- and gambling-addled detective in post-Katrina New Orleans investigating the killing of five Senegalese immigrants.,$25 million,$10.6 million,English,United States
tt1605717,movie,Frank,Frank,0,2014.0,95.0,"Comedy,Drama,Music",6.9,84611,"['nm1055413', 'nm1727304', 'nm0350454', 'nm0111757', 'nm0125348']","Jon, a young wanna-be musician, discovers he's bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank.",$1 million,$1.9 million,English,
tt1840417,movie,The Words,The Words,0,2012.0,102.0,"Drama,Mystery,Romance",7.0,84609,"['nm0177896', 'nm0000598', 'nm1312575', 'nm0757855', 'nm0001314']",A writer at the peak of his literary success discovers the steep price he must pay for stealing another man's work.,$6 million,$16.4 million,English,United States
tt1582507,movie,House at the End of the Street,House at the End of the Street,0,2012.0,101.0,"Drama,Horror,Mystery",5.5,84549,"['nm2225369', 'nm0000223', 'nm1302735', 'nm0004743', 'nm4012603']","After moving with her mother to a small town, a teenager finds that an accident happened in the house at the end of the street. Things get more complicated when she befriends a boy. A double murder is not an accident.",$6.9-10 million,$44.3 million,English,United States
tt0085407,movie,The Dead Zone,The Dead Zone,0,1983.0,103.0,"Drama,Fantasy,Thriller",7.2,84540,"['nm0000686', 'nm0000724', 'nm0000643', 'nm0007042', 'nm0001875']","Five years after a traffic accident that left him in a coma, a man awakens to discover that he has the ability to foresee future events and even prevent tragedies from happening. Will these new abilities prove to be a blessing or ...",$7.1–10 million,$20.8 million (US/Canada)$16.3 million (worldwide rentals),English,United States[1]
tt1336608,movie,Rock of Ages,Rock of Ages,0,2012.0,123.0,"Comedy,Drama,Musical",5.9,84512,"['nm2584600', 'nm1546300', 'nm0000129', 'nm0000285', 'nm5088247']",A small-town girl and a city boy meet on the Sunset Strip while pursuing their Hollywood dreams.,,,,
tt5719748,movie,Cold Pursuit,Cold Pursuit,0,2019.0,119.0,"Action,Comedy,Crime",6.2,84503,"['nm0000553', 'nm0000368', 'nm6183410', 'nm1002664', 'nm0835426']",A grieving snowplow driver seeks revenge against the drug dealers who killed his son.,$60 million,$76.3 million,English,
tt0398712,movie,Assault on Precinct 13,Assault on Precinct 13,0,2005.0,109.0,"Action,Crime,Drama",6.3,84472,"['nm0000160', 'nm0000401', 'nm0000321', 'nm0004742', 'nm0005576']","A police sergeant must rally the cops and prisoners together to protect themselves on New Year's Eve, just as corrupt policeman surround the station with the intent of killing all to keep their deception in the ranks.",,,,
tt1486834,movie,What If,The F Word,0,2013.0,98.0,"Comedy,Romance",6.8,84469,"['nm0705356', 'nm1443740', 'nm1177914', 'nm3485845', 'nm4496875']","Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.",,,,
tt0378109,movie,Into the Blue,Into the Blue,0,2005.0,110.0,"Action,Adventure,Crime",5.9,84444,"['nm0908094', 'nm0004695', 'nm0004790', 'nm1008709', 'nm0000982']",Four divers cross paths with drug smugglers in the Bahamas.,,,,
tt1245112,movie,[Rec]²,(REC)²,0,2009.0,85.0,"Horror,Thriller",6.5,84440,"['nm3536229', 'nm0892299', 'nm0971334', 'nm0143032', 'nm1458166']","In order to ascertain the current situation inside, a supposed medical officer and a GEO team step into the quarantined and ill-fated apartment building.",,,,
